Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","229","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","2662484.018736","X","Sources internationales sûres",""
"MK","Indicateurs macro","184","Rwanda","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","9252.814353","X","Sources internationales sûres",""
"MK","Indicateurs macro","189","Sainte-Lucie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1999.088889","X","Sources internationales sûres",""
"MK","Indicateurs macro","188","Saint-Kitts-et-Nevis","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","996.944444","X","Sources internationales sûres",""
"MK","Indicateurs macro","192","Saint-Marin","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1528.621195","X","Sources internationales sûres",""
"MK","Indicateurs macro","191","Saint-Vincent-et-les Grenadines","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","792.177778","X","Sources internationales sûres",""
"MK","Indicateurs macro","244","Samoa","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","824.374253","X","Sources internationales sûres",""
"MK","Indicateurs macro","193","Sao Tomé-et-Principe","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","378.598871","X","Sources internationales sûres",""
"MK","Indicateurs macro","195","Sénégal","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","20996.562959","X","Sources internationales sûres",""
"MK","Indicateurs macro","272","Serbie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","44179.075779","X","Sources internationales sûres",""
"MK","Indicateurs macro","196","Seychelles","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1524.515657","X","Sources internationales sûres",""
"MK","Indicateurs macro","197","Sierra Leone","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","3739.577962","X","Sources internationales sûres",""
