Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"EI","Intensités des émissions","79","Allemagne","5510","Production","882","Lait, entier frais de vache","2017","2017","tonnes","32666363","","Donnée officielle"
"EI","Intensités des émissions","79","Allemagne","71761","Intensité des émissions","1017","Viande, caprin","2017","2017","kg CO2eq/kg product","56.4622","Fc","Donnée calculée"
"EI","Intensités des émissions","79","Allemagne","7231","Émissions (CO2eq)","1017","Viande, caprin","2017","2017","gigagrammes","23.6012","Fc","Donnée calculée"
"EI","Intensités des émissions","79","Allemagne","5510","Production","1017","Viande, caprin","2017","2017","tonnes","418","","Donnée officielle"
"EI","Intensités des émissions","79","Allemagne","71761","Intensité des émissions","1020","Lait, entier frais de chèvre","2017","2017","kg CO2eq/kg product","0.3262","Fc","Donnée calculée"
"EI","Intensités des émissions","79","Allemagne","7231","Émissions (CO2eq)","1020","Lait, entier frais de chèvre","2017","2017","gigagrammes","9.2072","Fc","Donnée calculée"
"EI","Intensités des émissions","79","Allemagne","5510","Production","1020","Lait, entier frais de chèvre","2017","2017","tonnes","28223","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","79","Allemagne","71761","Intensité des émissions","977","Viande, ovin","2017","2017","kg CO2eq/kg product","14.313","Fc","Donnée calculée"
"EI","Intensités des émissions","79","Allemagne","7231","Émissions (CO2eq)","977","Viande, ovin","2017","2017","gigagrammes","445.8796","Fc","Donnée calculée"
"EI","Intensités des émissions","79","Allemagne","5510","Production","977","Viande, ovin","2017","2017","tonnes","31152","","Donnée officielle"
"EI","Intensités des émissions","79","Allemagne","71761","Intensité des émissions","1058","Viande, volaille","2017","2017","kg CO2eq/kg product","0.4539","Fc","Donnée calculée"
"EI","Intensités des émissions","79","Allemagne","7231","Émissions (CO2eq)","1058","Viande, volaille","2017","2017","gigagrammes","458.2107","Fc","Donnée calculée"
"EI","Intensités des émissions","79","Allemagne","5510","Production","1058","Viande, volaille","2017","2017","tonnes","1009565","","Donnée officielle"
"EI","Intensités des émissions","79","Allemagne","71761","Intensité des émissions","1062","Œufs de poule en coquille","2017","2017","kg CO2eq/kg product","0.4806","Fc","Donnée calculée"
"EI","Intensités des émissions","79","Allemagne","7231","Émissions (CO2eq)","1062","Œufs de poule en coquille","2017","2017","gigagrammes","397.075","Fc","Donnée calculée"
"EI","Intensités des émissions","79","Allemagne","5510","Production","1062","Œufs de poule en coquille","2017","2017","tonnes","826200","","Donnée officielle"
"EI","Intensités des émissions","79","Allemagne","71761","Intensité des émissions","1035","Viande, suidés","2017","2017","kg CO2eq/kg product","1.2383","Fc","Donnée calculée"
"EI","Intensités des émissions","79","Allemagne","7231","Émissions (CO2eq)","1035","Viande, suidés","2017","2017","gigagrammes","6817.5447","Fc","Donnée calculée"
"EI","Intensités des émissions","79","Allemagne","5510","Production","1035","Viande, suidés","2017","2017","tonnes","5505572","","Donnée officielle"
"EI","Intensités des émissions","7","Angola","71761","Intensité des émissions","1718","Céréales sans riz","2017","2017","kg CO2eq/kg product","0.1804","Fc","Donnée calculée"
"EI","Intensités des émissions","7","Angola","7231","Émissions (CO2eq)","1718","Céréales sans riz","2017","2017","gigagrammes","510.3537","Fc","Donnée calculée"
"EI","Intensités des émissions","7","Angola","5510","Production","1718","Céréales sans riz","2017","2017","tonnes","2828265.7043","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EI","Intensités des émissions","7","Angola","71761","Intensité des émissions","27","Riz, paddy","2017","2017","kg CO2eq/kg product","5.6988","Fc","Donnée calculée"
"EI","Intensités des émissions","7","Angola","7231","Émissions (CO2eq)","27","Riz, paddy","2017","2017","gigagrammes","359.0257","Fc","Donnée calculée"
"EI","Intensités des émissions","7","Angola","5510","Production","27","Riz, paddy","2017","2017","tonnes","63000","*","Chiffre non officiel"
"EI","Intensités des émissions","7","Angola","71761","Intensité des émissions","867","Viande, bovine","2017","2017","kg CO2eq/kg product","51.7335","Fc","Donnée calculée"
"EI","Intensités des émissions","7","Angola","7231","Émissions (CO2eq)","867","Viande, bovine","2017","2017","gigagrammes","5166.3496","Fc","Donnée calculée"
"EI","Intensités des émissions","7","Angola","5510","Production","867","Viande, bovine","2017","2017","tonnes","99865","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","7","Angola","71761","Intensité des émissions","882","Lait, entier frais de vache","2017","2017","kg CO2eq/kg product","3.2976","Fc","Donnée calculée"
"EI","Intensités des émissions","7","Angola","7231","Émissions (CO2eq)","882","Lait, entier frais de vache","2017","2017","gigagrammes","713.0033","Fc","Donnée calculée"
"EI","Intensités des émissions","7","Angola","5510","Production","882","Lait, entier frais de vache","2017","2017","tonnes","216217","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","7","Angola","71761","Intensité des émissions","1017","Viande, caprin","2017","2017","kg CO2eq/kg product","49.0508","Fc","Donnée calculée"
"EI","Intensités des émissions","7","Angola","7231","Émissions (CO2eq)","1017","Viande, caprin","2017","2017","gigagrammes","964.5618","Fc","Donnée calculée"
"EI","Intensités des émissions","7","Angola","5510","Production","1017","Viande, caprin","2017","2017","tonnes","19665","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","7","Angola","71761","Intensité des émissions","977","Viande, ovin","2017","2017","kg CO2eq/kg product","51.5081","Fc","Donnée calculée"
"EI","Intensités des émissions","7","Angola","7231","Émissions (CO2eq)","977","Viande, ovin","2017","2017","gigagrammes","221.7653","Fc","Donnée calculée"
"EI","Intensités des émissions","7","Angola","5510","Production","977","Viande, ovin","2017","2017","tonnes","4305","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","7","Angola","71761","Intensité des émissions","1058","Viande, volaille","2017","2017","kg CO2eq/kg product","3.8153","Fc","Donnée calculée"
