Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;
Albanie;ALB;Commissions pour usage de la propriété intellectuelle, paiements (BDP, $ US courants);BM.GSR.ROYL.CD;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;8358857.12;4942627.61;4204267.36202606;6768509.00807782;11850000;12517993.9317724;14487498.7588025;12138446.1096681;12703928.1780979;23362460.0492866;22607333.7766243;21881927.4176071;24578013.7488834;23163082.2844537;13132426.9115916;26412466.501099;34784215.2646104;38609323.6413546;
Andorre;AND;Exportations de haute technologie (% des exportations de biens manufacturés);TX.VAL.TECH.MF.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.7938502091708;16.3899151692822;12.1884592508477;23.6298414916522;18.4970908132176;20.653714002811;23.5980461220081;20.6864875331853;22.6448431582106;24.2802468044837;23.2513228945212;28.4607913899759;;;
Andorre;AND;Exportations de haute technologie ($ US courants);TX.VAL.TECH.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33424896;17935435;10402350;19545650;18990187;19714197;21595662;18015814;17999514;21706225;24235417;33913480;;;
Andorre;AND;Techniciens (pour un million de personnes);SP.POP.TECH.RD.P6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorre;AND;Chercheurs en recherche et développement (pour un million de personnes);SP.POP.SCIE.RD.P6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorre;AND;Demandes de marque déposée, total;IP.TMK.TOTL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2449;7643;2404;1141;1620;1578;725;859;741;806;876;1071;1021;785;948;803;620;;896;1053;991;977;1180;1060;;
Andorre;AND;Demandes de marques de commerce, résidents directs;IP.TMK.RESD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;164;504;498;226;728;600;240;258;202;304;239;259;325;243;259;225;182;;191;190;224;215;256;303;;
Andorre;AND;Demandes de marques de commerce, non résidents directs;IP.TMK.NRES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2285;7139;1906;915;892;978;485;601;539;502;637;812;696;542;689;578;438;;705;863;767;762;924;757;;
Andorre;AND;Demandes de brevet, résidents;IP.PAT.RESD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;;
Andorre;AND;Demandes de brevet, non résidents;IP.PAT.NRES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;6;10;12;;
Andorre;AND;Articles de journaux scientifiques et techniques;IP.JRN.ARTC.SC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2.64;0.5;4.7;1.31;4.93;5.02;6.16;1.68;2.55;1.2;0.91;3.58;5.26;4.18;8.08;7.99;2.01;3.6;;;
Andorre;AND;Dépenses en recherche et développement (% du PIB);GB.XPD.RSDV.GD.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
